player,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP,rookie
Rashee Rice,WR,KC,123,12.32941176,6,85.2,
Jaylen Warren,RB,PIT,113,11.18235294,9,87.6,
Jake Ferguson,TE,DAL,109,11.13529412,7,87.6,
Zack Moss,RB,CIN,137,11.42352941,12,89,
Austin Ekeler,RB,WAS,121,11.04705882,14,89.8,
Marquise Brown,WR,KC,124,11.88823529,6,90,
Nick Chubb,RB,CLE,137,11.28235294,10,90.6,
Diontae Johnson,WR,CAR,120,11.35294118,11,91.2,
Brock Purdy,QB,SF,351,22.35882353,9,96.2,
Jordan Addison,WR,MIN,115,10.70588235,6,96.2,
Javonte Williams,RB,DEN,119,10.72941176,14,97.2,
Brian Robinson Jr.,RB,WAS,141,11.35294118,14,97.4,
Devin Singletary,RB,NYG,115,9.805882353,11,98.6,
DeAndre Hopkins,WR,TEN,132,11.77647059,5,98.8,
Christian Watson,WR,GB,133,11.17058824,10,102.4,
Tyjae Spears,RB,TEN,96,9.423529412,5,103.2,
Jaxon Smith-Njigba,WR,SEA,102,10.61764706,10,106,
Ezekiel Elliott,RB,DAL,82,7.752941176,7,108.4,
Gus Edwards,RB,LAC,121,9.441176471,5,112.2,
Dallas Goedert,TE,PHI,102,10.37647059,5,112.4,
Tua Tagovailoa,QB,MIA,308,19.61411765,6,115.6,
T.J. Hockenson,TE,MIN,86,9.864705882,6,116.2,
Jared Goff,QB,DET,336,21.00588235,5,118,
Jameson Williams,WR,DET,100,9.194117647,5,119,
Courtland Sutton,WR,DEN,117,11.10588235,14,119.8,
Chase Brown,RB,CIN,119,10.36470588,12,120.8,
Jerome Ford,RB,CLE,102,9.258823529,10,124.6,
Justin Herbert,QB,LAC,333,21.02941176,5,128.8,
Dalton Schultz,TE,HOU,90,9.505882353,14,129.2,
Tyler Lockett,WR,SEA,105,10.59411765,10,131.2,
Zach Charbonnet,RB,SEA,64,7.029411765,10,132.2,
Trevor Lawrence,QB,JAC,334,21.37882353,12,133.2,
J.K. Dobbins,RB,LAC,124,10.46470588,5,133.6,
Curtis Samuel,WR,BUF,89,9.2,12,136.2,
Pat Freiermuth,TE,PIT,89,8.988235294,9,136.8,
Cole Kmet,TE,CHI,91,9.494117647,7,138.2,
Khalil Shakir,WR,BUF,108,10.47647059,12,139.6,
Romeo Doubs,WR,GB,114,10.47058824,10,142.6,
Mike Williams,WR,NYJ,111,10.94117647,12,143.8,
Aaron Rodgers,QB,NYJ,273,17.45647059,12,145.8,
Kirk Cousins,QB,ATL,323,20.32823529,12,146,
Jakobi Meyers,WR,LV,112,10.72352941,10,146.2,
Jerry Jeudy,WR,CLE,105,10.35294118,10,147,
Chuba Hubbard,RB,CAR,79,7.435294118,11,150.8,
Matthew Stafford,QB,LAR,295,19.05411765,6,151,
Josh Palmer,WR,LAC,97,10.10588235,5,158.8,
Rico Dowdle,RB,DAL,116,9.235294118,7,159.6,
Brandin Cooks,WR,DAL,107,10.44705882,7,160.6,
Tyler Allgeier,RB,ATL,91,7.529411765,12,160.8,
Ty Chandler,RB,MIN,82,7.441176471,6,161.8,
Baker Mayfield,QB,TB,308,19.86352941,11,166.6,
Deshaun Watson,QB,CLE,302,19.74705882,10,168.4,
Gabe Davis,WR,JAC,92,8.558823529,12,168.6,
Antonio Gibson,RB,NE,82,9.247058824,14,170.4,
Adam Thielen,WR,CAR,91,9.888235294,11,170.8,
Luke Musgrave,TE,GB,76,8.376470588,10,171.8,
Jaleel McLaughlin,RB,DEN,77,7.352941176,14,174.4,
Rashid Shaheed,WR,NO,107,10.10588235,12,174.8,
Kendre Miller,RB,NO,76,6.647058824,12,178.4,
Josh Downs,WR,IND,55,6.335294118,14,184,
Dontayvion Wicks,WR,GB,84,7.876470588,10,186,
Jahan Dotson,WR,WAS,94,8.982352941,14,187,
Elijah Mitchell,RB,SF,65,5.464705882,9,190.2,
Isaiah Likely,TE,BAL,95,8.358823529,14,190.2,
Hunter Henry,TE,NE,80,7.835294118,14,194,
Darnell Mooney,WR,ATL,70,6.982352941,12,195.6,
Quentin Johnston,WR,LAC,76,7.764705882,5,198.3,
Taysom Hill,QB,NO,109,4.471764706,12,198.5,
Khalil Herbert,RB,CHI,73,6.929411765,7,199,
Demario Douglas,WR,NE,89,10.13529412,14,201.8,
Geno Smith,QB,SEA,296,19.34117647,10,202.6,
Justin Fields,QB,PIT,38,3.298823529,9,203.5,
Tyler Conklin,TE,NYJ,70,8.117647059,12,204.8,
Will Levis,QB,TEN,231,15.55411765,5,205,
Michael Wilson,WR,ARI,93,8.652941176,11,205.8,
Dameon Pierce,RB,HOU,29,3.347058824,14,206.3,
Chigoziem Okonkwo,TE,TEN,67,7.552941176,5,207,
Odell Beckham Jr.,WR,MIA,80,8.217647059,6,210,
Russell Wilson,QB,PIT,241,15.86705882,9,215.2,
Roschon Johnson,RB,CHI,58,6.547058824,7,216.3,
Wan'Dale Robinson,WR,NYG,91,10.35294118,11,216.5,
Cade Otton,TE,TB,63,7.276470588,11,216.5,
Clyde Edwards-Helaire,RB,KC,77,7.611764706,6,218,
Bryce Young,QB,CAR,226,14.86823529,11,218.3,
Rashod Bateman,WR,BAL,79,7.958823529,14,219,
Dawson Knox,TE,BUF,52,5.447058824,12,220.7,
Derek Carr,QB,NO,316,19.87411765,12,223.6,
Keaton Mitchell,RB,BAL,72,6.047058824,14,225.8,
Alexander Mattison,RB,LV,54,5.547058824,10,225.8,
Daniel Jones,QB,NYG,273,17.88117647,11,227.3,
Michael Mayer,TE,LV,53,5.876470588,10,230.5,
Noah Fant,TE,SEA,59,6.6,10,231.3,
Mike Gesicki,TE,CIN,63,6.711764706,12,235.2,
AJ Dillon,RB,GB,43,4.605882353,10,235.3,
Kenneth Gainwell,RB,PHI,71,7.423529412,5,236.3,
D'Onta Foreman,RB,CLE,111,8.705882353,10,242.5,
Zach Ertz,TE,WAS,36,4.417647059,14,244.5,
Tyler Boyd,WR,TEN,56,6.323529412,5,247,
Jonnu Smith,TE,MIA,66,7.264705882,6,248,
Demarcus Robinson,WR,LAR,79,7.929411765,6,251.7,
Miles Sanders,RB,CAR,56,6.552941176,11,252,
Jamaal Williams,RB,NO,48,4.847058824,12,253.3,
Justice Hill,RB,BAL,57,5.723529412,14,254.3,
