player_name,week,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr
D.Bell,9,0,0,0,0,0,0,0,0,14,23,167,3,34.7,48.7
D.Bellinger,13,0,0,0,0,0,0,0,0,25,28,255,0,25.5,50.5
D.Brown,13,1,1,4,0,0,1,0,0,12,23,168,1,22.96,34.96
D.Byrd,1,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0
D.Carr,17,375,548,3878,25,8,32,40,0,0,0,0,0,241.12,241.12
D.Carter,8,0,0,0,0,0,3,18,0,4,7,39,0,5.7,9.7
D.Chark,14,0,0,0,0,0,0,0,0,35,66,525,5,80.5,115.5
D.Cook,14,0,0,0,0,0,67,214,0,15,20,78,0,25.2,40.2
D.Dallas,10,0,0,0,0,0,10,36,0,6,9,26,0,6.2,12.2
D.Davis,14,0,0,0,0,0,14,101,0,15,17,66,0,22.7,37.7
D.Douglas,14,0,0,0,0,0,8,41,0,49,79,561,0,58.2,107.2
D.Duvernay,6,0,0,0,0,0,4,15,0,4,9,18,0,3.3,7.3
D.Eskridge,3,0,0,0,0,0,2,5,0,0,1,0,0,0.5,0.5
D.Evans,6,0,0,0,0,0,32,121,1,7,12,49,0,23.0,30.0
D.Foreman,9,0,0,0,0,0,109,425,4,11,16,77,1,80.2,91.2
D.Goedert,14,0,0,0,0,0,1,1,0,59,83,592,3,77.3,136.29999999999998
D.Gore,2,0,0,0,0,0,3,26,0,0,0,0,0,2.5999999999999996,2.5999999999999996
D.Harris,6,0,0,0,0,0,23,94,1,2,2,16,0,17.0,19.0
D.Harty,12,0,0,0,0,0,4,0,0,15,21,150,1,27.0,42.0
D.Henderson,4,0,0,0,0,0,46,112,2,10,14,103,0,33.5,43.5
D.Henry,17,2,3,14,2,0,280,1167,12,28,36,214,0,218.66,246.66
D.Hopkins,17,0,1,0,0,0,2,9,0,75,137,1057,7,148.6,223.6
D.Jackson,2,0,0,0,0,0,14,16,0,5,6,14,0,-1.0,4.0
D.Johnson,28,0,0,0,0,0,41,108,0,61,99,857,5,126.5,187.5
D.Jones,6,108,160,909,2,6,40,206,1,0,0,0,0,56.96,56.96
D.Kincaid,16,0,0,0,0,0,0,0,0,73,91,673,2,77.3,150.3
D.Knox,10,0,0,0,0,0,0,0,0,22,36,186,2,32.6,54.599999999999994
D.Lock,4,48,76,543,3,3,5,14,0,0,0,0,0,29.119999999999997,29.119999999999997
D.London,16,1,1,22,0,0,0,0,0,69,110,905,2,105.38,174.38
D.Metcalf,16,0,0,0,0,0,0,0,0,66,119,1114,8,159.4,225.4
D.Mills,5,18,39,173,2,0,2,9,0,0,0,0,0,17.82,17.82
D.Montgomery,16,0,0,0,0,0,219,1015,13,19,32,173,1,202.8,221.8
D.Mooney,14,0,0,0,0,0,2,5,0,31,61,414,1,47.9,78.9
D.Moore,23,0,0,0,0,0,4,21,1,101,143,1458,9,205.9,306.9
D.Njoku,16,0,0,0,0,0,0,0,0,81,123,882,6,120.2,201.2
D.Ogunbowale,6,0,0,0,0,0,8,35,0,2,7,18,0,5.3,7.3
D.Ozigbo,1,0,0,0,0,0,3,5,0,1,1,8,0,1.3,2.3
D.Parham,13,0,0,0,0,0,0,0,0,27,41,285,4,52.5,79.5
D.Parker,13,0,0,0,0,0,0,0,0,33,55,394,0,39.4,72.4
D.Peoples-Jones,12,0,0,0,0,0,0,0,0,13,25,155,0,15.5,28.5
D.Pierce,13,0,0,0,0,0,145,416,2,13,17,101,0,69.7,82.7
D.Prescott,17,410,590,4516,36,9,55,242,2,0,0,0,0,342.84000000000003,342.84000000000003
D.Ridder,15,249,388,2836,12,12,53,193,5,1,1,-6,0,180.14,181.14
D.Robinson,8,0,0,0,0,0,1,23,0,26,39,371,4,61.4,87.39999999999999
D.Sample,14,0,0,0,0,0,0,0,0,22,27,163,2,28.3,50.3
D.Samuel,15,0,1,0,0,0,37,225,5,60,89,892,7,183.7,243.7
D.Schultz,15,0,0,0,0,0,0,0,0,59,88,635,5,91.5,150.5
D.Singletary,17,1,1,6,1,0,216,898,4,30,38,193,0,137.34,167.34
D.Skipper,1,0,0,0,0,0,0,0,0,1,1,4,0,0.4,1.4
D.Slayton,17,0,0,0,0,0,0,0,0,50,79,770,4,101.0,151.0
D.Smith,17,0,0,0,0,0,0,0,0,82,113,1066,7,146.6,228.6
D.Smythe,13,0,0,0,0,0,0,0,0,35,43,366,0,36.6,71.6
D.Swift,16,0,0,0,0,0,229,1049,5,39,49,214,1,160.3,199.3
D.Thompkins,12,0,0,0,0,0,8,56,0,17,25,83,1,17.9,34.9
D.Thompson-Robinson,7,60,112,440,1,4,14,65,0,0,0,0,0,22.1,22.1
D.Vaughn,6,0,0,0,0,0,23,40,0,7,7,40,0,8.0,15.0
D.Waller,12,0,0,0,0,0,0,0,0,52,74,552,1,61.2,113.2
D.Washington,8,0,0,0,0,0,0,0,0,7,10,61,0,6.1,13.1
D.Watson,6,105,171,1115,7,4,26,142,1,0,0,0,0,86.8,86.8
D.Wells,1,0,0,0,0,0,0,0,0,2,2,-10,0,-1.0,1.0
D.Wicks,15,1,1,14,0,0,1,1,0,39,58,581,4,80.75999999999999,119.75999999999999
D.Williams,3,0,0,0,0,0,11,43,0,2,2,12,0,5.5,7.5
E.Cooks,2,0,0,0,0,0,0,0,0,3,4,38,0,3.8,6.8
E.Demercado,11,0,0,0,0,0,58,284,2,21,30,119,0,52.3,73.3
E.Dotson,1,0,0,0,0,0,4,6,0,2,2,13,0,1.9,3.9
E.Elliott,17,0,0,0,0,0,184,642,3,51,65,313,2,123.5,174.5
E.Engram,17,0,0,0,0,0,0,0,0,114,143,963,4,116.3,230.29999999999998
E.Ezukanma,2,0,0,0,0,0,5,22,0,0,1,0,0,2.2,2.2
E.Gray,5,0,0,0,0,0,17,48,0,6,7,22,0,7.0,13.0
E.Higgins,9,0,0,0,0,0,0,0,0,14,19,163,1,22.3,36.3
E.Hull,1,0,0,0,0,0,1,1,0,1,1,6,0,0.7,1.7
