player_name,week,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr
G.Wilson,17.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,89.0,157.5,1072.5,3.5,125.44999999999999,214.45
G.Winn,3.5,0.0,0.0,0.0,0.0,0.0,11.5,37.0,0.0,0.0,1.5,0.0,0.0,3.6999999999999997,3.6999999999999997
H.Bryant,12.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.0,20.0,29.75,190.25,2.0,30.375,50.375
H.Butler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
H.Douglas,12.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.25,25.0,40.25,315.25,0.75,40.825,65.825
H.Haskins,7.0,0.0,0.0,0.0,0.0,0.0,25.0,93.0,0.0,11.0,12.0,57.0,0.0,15.0,26.0
H.Henry,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,66.75,552.75,5.0,84.775,130.775
H.Hentges,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,103.0,1.0,16.3,24.3
H.Hurst,12.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,29.25,43.0,306.25,2.5,45.125,74.375
H.Krieger-Coble,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,1.3,2.3
H.Long,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.8,1.8
H.Luepke,6.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,1.0,3.0,4.0,18.0,0.0,9.7,12.7
H.Renfrow,12.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,54.5,73.0,594.75,3.75,80.55,135.05
H.Ruggs,10.0,0.0,0.0,0.0,0.0,0.0,6.0,32.5,0.0,25.0,39.5,460.5,2.0,59.3,84.30000000000001
H.Sharp,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,54.0,1.0,11.4,16.4
H.Valles,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,5.5,0.0,0.55,1.55
I.Abanikanda,6.0,0.0,0.0,0.0,0.0,0.0,22.0,70.0,0.0,7.0,11.0,43.0,0.0,11.3,18.3
I.Book,1.0,12.0,20.0,135.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
I.Burse,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
I.Charles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I.Coulter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I.Crowell,12.0,0.0,0.0,0.0,0.0,0.0,137.0,574.5,4.75,17.5,22.75,155.25,0.25,101.475,118.975
I.Ford,7.0,0.0,0.0,0.0,0.0,0.0,0.25,2.75,0.0,15.75,24.25,170.25,0.5,20.3,36.05
I.Fruechte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I.Hodgins,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,40.5,311.0,3.5,51.1,80.1
I.Hyman,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,34.0,0.0,3.4,5.3999999999999995
I.Johnson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
I.Likely,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,50.0,392.0,4.0,63.199999999999996,96.19999999999999
I.McKenzie,9.6,0.2,0.2,2.4,0.2,0.0,7.0,32.6,0.6,17.2,25.4,156.4,1.2,31.796,48.995999999999995
I.Momah,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,48.0,0.0,4.8,6.3
I.Nauta,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,8.0,0.0,0.8,2.3
I.Pacheco,15.5,0.0,0.0,0.0,0.0,0.0,187.5,882.5,6.0,28.5,31.5,187.0,1.0,145.95,174.45
I.Rodgers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
I.Smith,16.0,0.0,0.0,0.0,0.0,0.0,58.333333333333336,229.66666666666666,2.0,30.333333333333332,39.666666666666664,208.33333333333334,0.6666666666666666,59.800000000000004,90.13333333333333
I.Smith-Marsette,4.333333333333333,0.0,0.0,0.0,0.0,0.0,3.0,24.333333333333332,0.3333333333333333,4.666666666666667,6.666666666666667,60.666666666666664,0.6666666666666666,15.833333333333334,20.5
I.Spiller,7.0,0.0,0.0,0.0,0.0,0.0,27.5,68.5,0.0,4.5,4.5,23.5,0.0,9.2,13.7
I.Thomas,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,29.2,173.6,0.8,22.16,40.760000000000005
I.Whitney,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I.Wright,11.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,0.0,27.0,35.0,197.0,0.0,21.3,48.3
I.Zuber,4.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,2.0,2.0,29.0,0.0,5.0,7.0
J.Abbrederis,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,8.333333333333334,54.333333333333336,0.0,5.433333333333334,9.766666666666667
J.Adams,7.0,0.0,0.0,0.0,0.0,0.0,31.4,136.0,1.0,7.4,10.6,60.2,0.2,26.820000000000004,34.220000000000006
J.Addison,17.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,70.0,108.0,911.0,10.0,151.3,221.3
J.Agnew,6.857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,4.428571428571429,37.57142857142857,0.14285714285714285,9.0,13.285714285714286,74.42857142857143,0.5714285714285714,21.771428571428572,30.771428571428572
J.Ajayi,9.0,0.0,0.0,0.0,0.0,0.0,114.4,509.2,2.6,12.6,17.4,83.8,0.2,75.3,87.9
J.Akins,12.0,0.0,0.0,0.0,0.0,0.0,0.5,1.75,0.0,25.5,36.75,289.25,0.75,33.1,58.6
J.Ali,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J.Allen,12.0,5.75,11.75,72.25,0.25,0.5,88.0,326.75,2.0,32.25,42.25,203.5,1.5,75.41499999999999,107.66499999999999
J.Amaro,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,28.5,202.0,1.0,26.2,46.7
J.Arcega-Whiteside,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,11.666666666666666,96.66666666666667,0.3333333333333333,12.333333333333334,17.666666666666668
J.Badet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J.Banyard,3.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,31.666666666666668,0.0,3.3333333333333335,4.0,24.333333333333332,0.0,5.6000000000000005,8.933333333333334
J.Bates,11.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,25.0,169.33333333333334,0.6666666666666666,20.933333333333334,38.6
J.Bellamy,7.833333333333333,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,7.166666666666667,0.0,13.0,24.5,169.83333333333334,0.8333333333333334,23.033333333333335,36.03333333333333
J.Berry,1.5,0.0,0.0,0.0,0.0,0.0,1.5,-5.5,0.0,0.0,0.0,0.0,0.0,-1.5499999999999998,-1.5499999999999998
J.Bethel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
J.Bobo,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,19.0,25.0,196.0,2.0,37.9,56.900000000000006
J.Boyce,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,121.0,0.0,12.100000000000001,21.1
J.Bradley,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.5,62.0,0.0,6.199999999999999,10.7
J.Brissett,9.6,117.2,196.6,1291.8,6.2,2.6,31.4,116.0,2.4,0.2,0.2,0.4,0.0,94.112,94.312
J.Brooks,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,64.0,0.0,6.3999999999999995,12.4
J.Brown,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,30.666666666666668,58.333333333333336,403.0,3.0,58.1,88.76666666666667
J.Browning,9.0,171.0,243.0,1936.0,12.0,7.0,27.0,127.0,3.0,1.0,1.0,-7.0,0.0,143.44,144.44
J.Brownlee,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,56.0,1.0,11.6,16.6
J.Burrow,12.0,297.75,440.5,3251.0,22.25,8.75,41.5,132.75,2.5,0.0,0.0,0.0,0.0,226.815,226.815
J.Butler,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,23.0,187.0,0.0,18.7,35.199999999999996
J.Butt,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.5,45.0,0.0,4.5,9.5
J.Cabinda,3.75,0.0,0.0,0.0,0.0,0.0,1.5,6.75,0.0,1.75,3.5,7.25,0.25,2.9000000000000004,4.6499999999999995
J.Callahan,1.0,5.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44
J.Camp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.7,1.7
J.Charles,12.0,0.0,0.0,0.0,0.0,0.0,124.25,750.0,3.0,29.25,38.25,261.5,1.5,126.64999999999999,155.9
