player,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Mike Williams,WR,NYJ,111,10.94117647,12,143.8
Khalil Shakir,WR,BUF,108,10.47647059,12,139.6
Ladd McConkey,WR,LAC,108,11.81764706,5,100
Brandin Cooks,WR,DAL,107,10.44705882,7,160.6
Rashid Shaheed,WR,NO,107,10.10588235,12,174.8
Keon Coleman,WR,BUF,107,11.14117647,12,103.2
Brian Thomas Jr.,WR,JAC,107,10.9,12,124
Kendrick Bourne,WR,NE,105,10.71176471,14,279
Tyler Lockett,WR,SEA,105,10.59411765,10,131.2
Jerry Jeudy,WR,CLE,105,10.35294118,10,147
Jaxon Smith-Njigba,WR,SEA,102,10.61764706,10,106
Rome Odunze,WR,CHI,101,10.38823529,7,104
Jameson Williams,WR,DET,100,9.194117647,5,119
Tim Patrick,WR,DEN,98,9.041176471,14,356
Josh Palmer,WR,LAC,97,10.10588235,5,158.8
Jahan Dotson,WR,WAS,94,8.982352941,14,187
DJ Chark,WR,LAC,93,8.411764706,5,311.3
Michael Wilson,WR,ARI,93,8.652941176,11,205.8
A.T. Perry,WR,NO,92,8.347058824,12,356.7
Gabe Davis,WR,JAC,92,8.558823529,12,168.6
Wan'Dale Robinson,WR,NYG,91,10.35294118,11,216.5
Adam Thielen,WR,CAR,91,9.888235294,11,170.8
Darius Slayton,WR,NYG,91,8.423529412,11,299.5
Demario Douglas,WR,NE,89,10.13529412,14,201.8
Curtis Samuel,WR,BUF,89,9.2,12,136.2
Adonai Mitchell,WR,IND,86,8.847058824,14,172.2
Troy Franklin,WR,DEN,84,9.294117647,14,198.8
Dontayvion Wicks,WR,GB,84,7.876470588,10,186
Odell Beckham Jr.,WR,MIA,80,8.217647059,6,210
Demarcus Robinson,WR,LAR,79,7.929411765,6,251.7
Rashod Bateman,WR,BAL,79,7.958823529,14,219
Jermaine Burton,WR,CIN,78,8.194117647,12,208.5
Josh Reynolds,WR,DEN,77,7.617647059,14,313.5
Quentin Johnston,WR,LAC,76,7.764705882,5,198.3
Roman Wilson,WR,PIT,71,7.776470588,9,192.5
Xavier Legette,WR,CAR,71,7.670588235,11,165.2
Darnell Mooney,WR,ATL,70,6.982352941,12,195.6
Elijah Moore,WR,CLE,69,7.935294118,10,296.5
Zay Jones,WR,ARI,68,7.788235294,11,290
Brandon Johnson,WR,DEN,66,5.847058824,14,500
KaVontae Turpin,WR,DAL,66,6.570588235,7,310
Cedrick Wilson Jr.,WR,NO,65,6.358823529,12,465
Greg Dortch,WR,ARI,64,7.041176471,11,272
Jalen McMillan,WR,TB,60,6.764705882,11,288
Trenton Irwin,WR,CIN,57,6.058823529,12,374
Alec Pierce,WR,IND,57,5.635294118,14,374.5
Ja'Lynn Polk,WR,NE,56,6.517647059,14,201
Jalin Hyatt,WR,NYG,56,5.641176471,11,268.3
Tyler Boyd,WR,TEN,56,6.323529412,5,247
Ricky Pearsall,WR,SF,55,6.1,9,191.6
Josh Downs,WR,IND,55,6.335294118,14,184
Jonathan Mingo,WR,CAR,53,6.441176471,11,344
Jalen Nailor,WR,MIN,53,5.729411765,6,550
Parris Campbell,WR,PHI,51,6.088235294,5,318.5
Trey Palmer,WR,TB,49,5.682352941,11,370
Christian McCaffrey,RB,SF,275,21.85882353,9,1
Saquon Barkley,RB,PHI,262,19.95882353,5,10.4
Breece Hall,RB,NYJ,242,20.01764706,12,5.2
Bijan Robinson,RB,ATL,233,19.44117647,12,6
Jonathan Taylor,RB,IND,232,16.82941176,14,11.2
Kyren Williams,RB,LAR,215,16.06470588,6,16
Derrick Henry,RB,BAL,206,14.86470588,14,18.8
Josh Jacobs,RB,GB,194,14.69411765,10,30.4
Joe Mixon,RB,HOU,189,14.82941176,14,41
Isiah Pacheco,RB,KC,187,14.95294118,6,21.4
James Cook,RB,BUF,186,14.69411765,12,33.6
Travis Etienne,RB,JAC,186,15.07058824,12,18.2
De'Von Achane,RB,MIA,186,14.58235294,6,25
Jahmyr Gibbs,RB,DET,181,15.87647059,5,11.6
Rachaad White,RB,TB,178,15.03529412,11,33.4
Kenneth Walker III,RB,SEA,170,12.88235294,10,43.2
James Conner,RB,ARI,167,13.27647059,11,60.4
Raheem Mostert,RB,MIA,162,12.24705882,6,76.2
Zamir White,RB,LV,156,12.57647059,10,64.8
Alvin Kamara,RB,NO,156,14.76470588,12,39.6
David Montgomery,RB,DET,155,11.8,5,64.2
Najee Harris,RB,PIT,149,11.66470588,9,75.8
Brian Robinson Jr.,RB,WAS,141,11.35294118,14,97.4
Aaron Jones,RB,MIN,140,12.57647059,6,59.8
Tony Pollard,RB,TEN,138,10.95294118,5,82
Nick Chubb,RB,CLE,137,11.28235294,10,90.6
Zack Moss,RB,CIN,137,11.42352941,12,89
D'Andre Swift,RB,CHI,136,11.82941176,7,64.6
Rhamondre Stevenson,RB,NE,129,11.90588235,14,65.2
Carson Steele,RB,KC,127,10.99411765,6,709
J.K. Dobbins,RB,LAC,124,10.46470588,5,133.6
Gus Edwards,RB,LAC,121,9.441176471,5,112.2
Austin Ekeler,RB,WAS,121,11.04705882,14,89.8
Chase Brown,RB,CIN,119,10.36470588,12,120.8
Javonte Williams,RB,DEN,119,10.72941176,14,97.2
Rico Dowdle,RB,DAL,116,9.235294118,7,159.6
Devin Singletary,RB,NYG,115,9.805882353,11,98.6
Jaylen Warren,RB,PIT,113,11.18235294,9,87.6
D'Onta Foreman,RB,CLE,111,8.705882353,10,242.5
Trey Benson,RB,ARI,107,8.694117647,11,121.8
Blake Corum,RB,LAR,106,8.688235294,6,123.2
Jonathon Brooks,RB,CAR,102,8.847058824,11,84.6
Jerome Ford,RB,CLE,102,9.258823529,10,124.6
Tyjae Spears,RB,TEN,96,9.423529412,5,103.2
Tyler Allgeier,RB,ATL,91,7.529411765,12,160.8
