player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Jayden Reed,2967762,,WR,GB,134,207.3,10,83.2
Christian Watson,2869806,15789,WR,GB,133,189.9,10,102.4
DeAndre Hopkins,1737078,11232,WR,TEN,132,200.2,5,98.8
Michael Pittman,2240188,14842,WR,IND,128,236.9,14,32.6
Marquise Brown,2804128,14105,WR,KC,124,202.1,6,90
Rashee Rice,3124978,,WR,KC,123,209.6,6,85.2
Chris Godwin,2818150,13163,WR,TB,121,209.5,11,76
Christian Kirk,2180820,13633,WR,JAC,121,214.3,12,71.2
Diontae Johnson,2194164,14208,WR,CAR,120,193,11,91.2
Terry McLaurin,2139279,14109,WR,WAS,119,201.9,14,74.8
Xavier Worthy,26730787,,WR,KC,118,191.1,6,96.6
Courtland Sutton,2218461,13630,WR,DEN,117,188.8,14,119.8
Malik Nabers,26697761,,WR,NYG,115,199.9,11,55
Jordan Addison,3162290,,WR,MIN,115,182,6,96.2
Keenan Allen,1737096,11222,WR,CHI,114,202.3,7,70
Romeo Doubs,2961886,15779,WR,GB,114,178,10,142.6
Jakobi Meyers,2183835,14127,WR,LV,112,182.3,10,146.2
Mike Williams,2082516,13154,WR,NYJ,111,186,12,143.8
Khalil Shakir,2969119,15761,WR,BUF,108,178.1,12,139.6
Ladd McConkey,3163962,,WR,LAC,108,200.9,5,100
Brandin Cooks,1880880,11674,WR,DAL,107,177.6,7,160.6
Rashid Shaheed,2250863,,WR,NO,107,171.8,12,174.8
Keon Coleman,26717289,,WR,BUF,107,189.4,12,103.2
Brian Thomas Jr.,3132164,,WR,JAC,107,185.3,12,124
Kendrick Bourne,2088428,13418,WR,NE,105,182.1,14,279
Tyler Lockett,1860834,12187,WR,SEA,105,180.1,10,131.2
Jerry Jeudy,2741201,14833,WR,CLE,105,176,10,147
Jaxon Smith-Njigba,3162959,,WR,SEA,102,180.5,10,106
Rome Odunze,3162979,,WR,CHI,101,176.6,7,104
Jameson Williams,3125968,15756,WR,DET,100,156.3,5,119
Tim Patrick,2818910,13377,WR,DEN,98,153.7,14,356
Josh Palmer,2867325,15319,WR,LAC,97,171.8,5,158.8
Jahan Dotson,2962944,15755,WR,WAS,94,152.7,14,187
DJ Chark,2131689,13668,WR,LAC,93,143,5,311.3
Michael Wilson,2965181,,WR,ARI,93,147.1,11,205.8
A.T. Perry,2965235,,WR,NO,92,141.9,12,356.7
Gabe Davis,2804813,14845,WR,JAC,92,145.5,12,168.6
Wan'Dale Robinson,3124107,15757,WR,NYG,91,176,11,216.5
Adam Thielen,2059362,11938,WR,CAR,91,168.1,11,170.8
Darius Slayton,2183982,14122,WR,NYG,91,143.2,11,299.5
Demario Douglas,3126241,,WR,NE,89,172.3,14,201.8
Curtis Samuel,2131252,13157,WR,BUF,89,156.4,12,136.2
Adonai Mitchell,26701928,,WR,IND,86,150.4,14,172.2
