player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Tee Higgins,2809208,14835,WR,CIN,144,12.80588235,12,58.4
Stefon Diggs,2000038,12186,WR,HOU,137,13.53529412,14,37.8
Jaylen Waddle,2962110,15284,WR,MIA,137,13.11176471,6,40.8
Calvin Ridley,2186328,13629,WR,TEN,136,12.22941176,5,75.2
Zay Flowers,3127049,,WR,BAL,135,13.33529412,14,57.8
Jayden Reed,2967762,,WR,GB,134,12.19411765,10,83.2
Christian Watson,2869806,15789,WR,GB,133,11.17058824,10,102.4
DeAndre Hopkins,1737078,11232,WR,TEN,132,11.77647059,5,98.8
Michael Pittman,2240188,14842,WR,IND,128,13.93529412,14,32.6
Marquise Brown,2804128,14105,WR,KC,124,11.88823529,6,90
Rashee Rice,3124978,,WR,KC,123,12.32941176,6,85.2
Chris Godwin,2818150,13163,WR,TB,121,12.32352941,11,76
Christian Kirk,2180820,13633,WR,JAC,121,12.60588235,12,71.2
Diontae Johnson,2194164,14208,WR,CAR,120,11.35294118,11,91.2
Terry McLaurin,2139279,14109,WR,WAS,119,11.87647059,14,74.8
Xavier Worthy,26730787,,WR,KC,118,11.24117647,6,96.6
Courtland Sutton,2218461,13630,WR,DEN,117,11.10588235,14,119.8
Malik Nabers,26697761,,WR,NYG,115,11.75882353,11,55
Jordan Addison,3162290,,WR,MIN,115,10.70588235,6,96.2
Keenan Allen,1737096,11222,WR,CHI,114,11.9,7,70
Romeo Doubs,2961886,15779,WR,GB,114,10.47058824,10,142.6
Jakobi Meyers,2183835,14127,WR,LV,112,10.72352941,10,146.2
Mike Williams,2082516,13154,WR,NYJ,111,10.94117647,12,143.8
Khalil Shakir,2969119,15761,WR,BUF,108,10.47647059,12,139.6
Ladd McConkey,3163962,,WR,LAC,108,11.81764706,5,100
Brandin Cooks,1880880,11674,WR,DAL,107,10.44705882,7,160.6
Rashid Shaheed,2250863,,WR,NO,107,10.10588235,12,174.8
Keon Coleman,26717289,,WR,BUF,107,11.14117647,12,103.2
Brian Thomas Jr.,3132164,,WR,JAC,107,10.9,12,124
Kendrick Bourne,2088428,13418,WR,NE,105,10.71176471,14,279
Tyler Lockett,1860834,12187,WR,SEA,105,10.59411765,10,131.2
Jerry Jeudy,2741201,14833,WR,CLE,105,10.35294118,10,147
Jaxon Smith-Njigba,3162959,,WR,SEA,102,10.61764706,10,106
Rome Odunze,3162979,,WR,CHI,101,10.38823529,7,104
Jameson Williams,3125968,15756,WR,DET,100,9.194117647,5,119
Tim Patrick,2818910,13377,WR,DEN,98,9.041176471,14,356
Josh Palmer,2867325,15319,WR,LAC,97,10.10588235,5,158.8
Jahan Dotson,2962944,15755,WR,WAS,94,8.982352941,14,187
DJ Chark,2131689,13668,WR,LAC,93,8.411764706,5,311.3
Michael Wilson,2965181,,WR,ARI,93,8.652941176,11,205.8
A.T. Perry,2965235,,WR,NO,92,8.347058824,12,356.7
Gabe Davis,2804813,14845,WR,JAC,92,8.558823529,12,168.6
Wan'Dale Robinson,3124107,15757,WR,NYG,91,10.35294118,11,216.5
Adam Thielen,2059362,11938,WR,CAR,91,9.888235294,11,170.8
Darius Slayton,2183982,14122,WR,NYG,91,8.423529412,11,299.5
Demario Douglas,3126241,,WR,NE,89,10.13529412,14,201.8
Curtis Samuel,2131252,13157,WR,BUF,89,9.2,12,136.2
Adonai Mitchell,26701928,,WR,IND,86,8.847058824,14,172.2
Troy Franklin,26693436,,WR,DEN,84,9.294117647,14,198.8
Dontayvion Wicks,3122375,,WR,GB,84,7.876470588,10,186
Odell Beckham Jr.,1824823,11679,WR,MIA,80,8.217647059,6,210
Demarcus Robinson,2061095,12785,WR,LAR,79,7.929411765,6,251.7
Rashod Bateman,2960940,15293,WR,BAL,79,7.958823529,14,219
Jermaine Burton,3163951,,WR,CIN,78,8.194117647,12,208.5
Josh Reynolds,2131796,13168,WR,DEN,77,7.617647059,14,313.5
Quentin Johnston,3162609,,WR,LAC,76,7.764705882,5,198.3
Roman Wilson,3169495,,WR,PIT,71,7.776470588,9,192.5
Xavier Legette,3131575,,WR,CAR,71,7.670588235,11,165.2
Darnell Mooney,2240651,14974,WR,ATL,70,6.982352941,12,195.6
Elijah Moore,2963569,15288,WR,CLE,69,7.935294118,10,296.5
Zay Jones,2080270,13176,WR,ARI,68,7.788235294,11,290
Brandon Johnson,2247509,15987,WR,DEN,66,5.847058824,14,500
KaVontae Turpin,2180870,15981,WR,DAL,66,6.570588235,7,310
Cedrick Wilson Jr.,2240685,13652,WR,NO,65,6.358823529,12,465
Greg Dortch,2223207,14108,WR,ARI,64,7.041176471,11,272
Jalen McMillan,3162347,,WR,TB,60,6.764705882,11,288
Trenton Irwin,3117052,14551,WR,CIN,57,6.058823529,12,374
Alec Pierce,2965664,15768,WR,IND,57,5.635294118,14,374.5
Ja'Lynn Polk,3162664,,WR,NE,56,6.517647059,14,201
Jalin Hyatt,3171911,,WR,NYG,56,5.641176471,11,268.3
Tyler Boyd,2071582,12650,WR,TEN,56,6.323529412,5,247
Ricky Pearsall,3122949,,WR,SF,55,6.1,9,191.6
Josh Downs,3162970,,WR,IND,55,6.335294118,14,184
Jonathan Mingo,3126905,,WR,CAR,53,6.441176471,11,344
Jalen Nailor,2967232,15786,WR,MIN,53,5.729411765,6,550
Parris Campbell,2139271,14112,WR,PHI,51,6.088235294,5,318.5
Trey Palmer,3122273,,WR,TB,49,5.682352941,11,370
Christian McCaffrey,2136743,13130,RB,SF,275,21.85882353,9,1
Saquon Barkley,2185957,13604,RB,PHI,262,19.95882353,5,10.4
Breece Hall,3123469,15708,RB,NYJ,242,20.01764706,12,5.2
Bijan Robinson,3168163,,RB,ATL,233,19.44117647,12,6
Jonathan Taylor,2866395,14802,RB,IND,232,16.82941176,14,11.2
Kyren Williams,3121836,15710,RB,LAR,215,16.06470588,6,16
Derrick Henry,2061188,12626,RB,BAL,206,14.86470588,14,18.8
Josh Jacobs,2257876,14073,RB,GB,194,14.69411765,10,30.4
Joe Mixon,2131143,13131,RB,HOU,189,14.82941176,14,41
Isiah Pacheco,2966551,15749,RB,KC,187,14.95294118,6,21.4
James Cook,2975698,15715,RB,BUF,186,14.69411765,12,33.6
Travis Etienne,2809206,15253,RB,JAC,186,15.07058824,12,18.2
De'Von Achane,3171161,,RB,MIA,186,14.58235294,6,25
Jahmyr Gibbs,3162723,,RB,DET,181,15.87647059,5,11.6
Rachaad White,3169147,15721,RB,TB,178,15.03529412,11,33.4
Kenneth Walker III,3121372,15711,RB,SEA,170,12.88235294,10,43.2
James Conner,2071585,13146,RB,ARI,167,13.27647059,11,60.4
Raheem Mostert,2174957,12447,RB,MIA,162,12.24705882,6,76.2
Zamir White,2963641,15714,RB,LV,156,12.57647059,10,64.8
Alvin Kamara,2082721,13132,RB,NO,156,14.76470588,12,39.6
David Montgomery,2261252,14071,RB,DET,155,11.8,5,64.2
Najee Harris,2741200,15254,RB,PIT,149,11.66470588,9,75.8
Brian Robinson Jr.,2741207,15716,RB,WAS,141,11.35294118,14,97.4
Aaron Jones,2071937,13319,RB,MIN,140,12.57647059,6,59.8
Tony Pollard,2184011,14085,RB,TEN,138,10.95294118,5,82
Nick Chubb,2131579,13610,RB,CLE,137,11.28235294,10,90.6
Zack Moss,2240516,14798,RB,CIN,137,11.42352941,12,89
D'Andre Swift,2871710,14797,RB,CHI,136,11.82941176,7,64.6
Rhamondre Stevenson,3125832,15259,RB,NE,129,11.90588235,14,65.2
Carson Steele,26698435,,RB,KC,127,10.99411765,6,709
J.K. Dobbins,2804420,14800,RB,LAC,124,10.46470588,5,133.6
Gus Edwards,2925410,13850,RB,LAC,121,9.441176471,5,112.2
Austin Ekeler,2820090,13404,RB,WAS,121,11.04705882,14,89.8
Chase Brown,2965160,,RB,CIN,119,10.36470588,12,120.8
Javonte Williams,2961719,15256,RB,DEN,119,10.72941176,14,97.2
Rico Dowdle,2252798,14823,RB,DAL,116,9.235294118,7,159.6
Devin Singletary,2241251,14080,RB,NYG,115,9.805882353,11,98.6
Jaylen Warren,3126535,15742,RB,PIT,113,11.18235294,9,87.6
D'Onta Foreman,2139847,13134,RB,CLE,111,8.705882353,10,242.5
Trey Benson,3176915,,RB,ARI,107,8.694117647,11,121.8
Blake Corum,3169252,,RB,LAR,106,8.688235294,6,123.2
Jonathon Brooks,26730706,,RB,CAR,102,8.847058824,11,84.6
Jerome Ford,2966543,15713,RB,CLE,102,9.258823529,10,124.6
Tyjae Spears,3122588,,RB,TEN,96,9.423529412,5,103.2
Tyler Allgeier,2975590,15712,RB,ATL,91,7.529411765,12,160.8
MarShawn Lloyd,3162514,,RB,GB,86,7.105882353,10,163.6
Tyrone Tracy Jr.,2963637,,RB,NYG,85,7.594117647,11,203.6
Ty Chandler,2867472,15723,RB,MIN,82,7.441176471,6,161.8
Antonio Gibson,2960976,14852,RB,NE,82,9.247058824,14,170.4
Ezekiel Elliott,2060769,12625,RB,DAL,82,7.752941176,7,108.4
Jaylen Wright,26698774,,RB,MIA,81,7.252941176,6,170.8
Chuba Hubbard,2865693,15261,RB,CAR,79,7.435294118,11,150.8
Clyde Edwards-Helaire,2804554,14803,RB,KC,77,7.611764706,6,218
Jaleel McLaughlin,26725939,,RB,DEN,77,7.352941176,14,174.4
Kendre Miller,3162256,,RB,NO,76,6.647058824,12,178.4
Braelon Allen,26726580,,RB,NYJ,75,6.511764706,12,215
Bucky Irving,26693770,,RB,TB,75,7.358823529,11,207
Khalil Herbert,2253041,15271,RB,CHI,73,6.929411765,7,199
Keaton Mitchell,3164710,,RB,BAL,72,6.047058824,14,225.8
Ray Davis,3123108,,RB,BUF,71,6.829411765,12,215.5
Kenneth Gainwell,2968948,15255,RB,PHI,71,7.423529412,5,236.3
Elijah Mitchell,2819876,15263,RB,SF,65,5.464705882,9,190.2
Zach Charbonnet,3123810,,RB,SEA,64,7.029411765,10,132.2
Samaje Perine,2131148,13133,RB,DEN,58,7,14,280
Roschon Johnson,3121395,,RB,CHI,58,6.547058824,7,216.3
Justice Hill,2250388,14086,RB,BAL,57,5.723529412,14,254.3
Miles Sanders,2251305,14079,RB,CAR,56,6.552941176,11,252
Alexander Mattison,2257933,14223,RB,LV,54,5.547058824,10,225.8
Jamaal Williams,2001287,13139,RB,NO,48,4.847058824,12,253.3
Audric Estime,26713577,,RB,DEN,46,4.217647059,14,229.5
AJ Dillon,2867083,14805,RB,GB,43,4.605882353,10,235.3
Andrew Beck,2131774,14319,RB,HOU,43,5.111764706,14,463
Chase Edmonds,2137507,13726,RB,TB,42,4.664705882,11,462
Tank Bigsby,3162021,,RB,JAC,36,4.058823529,12,271
Emari Demercado,2964372,,RB,ARI,31,4.035294118,11,443
Kyle Juszczyk,1683145,11367,RB,SF,31,3.888235294,9,268.5
Dameon Pierce,2964236,15717,RB,HOU,29,3.347058824,14,206.3
Hunter Luepke,2969438,,RB,DAL,27,2.476470588,7,839
Trey Sermon,2804142,15257,RB,IND,25,2.135294118,14,301
Rasheen Ali,3168797,,RB,BAL,23,2.029411765,14,376
Ronnie Rivers,2804793,15726,RB,LAR,21,2.411764706,6,653
Ameer Abdullah,1824308,12155,RB,LV,20,3.064705882,10,404
Deuce Vaughn,3168666,,RB,DAL,19,2.576470588,7,326
Jordan Mason,2967536,15972,RB,SF,19,1.752941176,9,304
Will Shipley,26699119,,RB,PHI,19,1.829411765,5,246.3
Nyheim Hines,2183832,13622,RB,CLE,14,2.270588235,10,463
Jase McClellan,3162688,,RB,ATL,13,1.511764706,12,690
Zander Horvath,2871345,15960,RB,NO,13,1.029411765,12,810
Jeff Wilson,2925161,14017,RB,MIA,13,1.505882353,6,385.5
Isaiah Spiller,3131703,15709,RB,LAC,13,1.576470588,5,642
Isaac Guerendo,2964154,,RB,SF,13,1.488235294,9,318.7
Cody Schrader,28876935,,RB,SF,13,1.488235294,9,718
Craig Reynolds,3117134,14727,RB,DET,13,1.417647059,5,331
Tyler Goodson,3122473,15730,RB,IND,12,1.505882353,14,485
JaMycal Hasty,2189504,14821,RB,NE,12,1.905882353,14,599
Emani Bailey,3164304,,RB,KC,12,1.458823529,6,869
Travis Kelce,1725130,11244,TE,KC,153,15.77058824,6,23.4
Mark Andrews,2131121,13671,TE,BAL,144,12.75882353,14,43.6
Sam LaPorta,3124197,,TE,DET,135,13.44117647,5,26.2
George Kittle,2818265,13299,TE,SF,125,11.45294118,9,59
David Njoku,2136474,13192,TE,CLE,116,12.02352941,10,82.4
Trey McBride,2963385,15794,TE,ARI,111,11.94117647,11,46.6
Kyle Pitts,2964514,15329,TE,ATL,110,10.7,12,61.2
Jake Ferguson,2867159,15799,TE,DAL,109,11.13529412,7,87.6
Dalton Kincaid,2982991,,TE,BUF,109,12.14705882,12,52.2
Dallas Goedert,2132551,13674,TE,PHI,102,10.37647059,5,112.4
Evan Engram,2079887,13189,TE,JAC,101,12.09411765,12,65.6
Isaiah Likely,2961906,15798,TE,BAL,95,8.358823529,14,190.2
Cole Kmet,2868619,14867,TE,CHI,91,9.494117647,7,138.2
Dalton Schultz,2136748,13772,TE,HOU,90,9.505882353,14,129.2
Pat Freiermuth,2961270,15331,TE,PIT,89,8.988235294,9,136.8
Brock Bowers,26693971,,TE,LV,89,9.776470588,10,102.4
T.J. Hockenson,2251097,14138,TE,MIN,86,9.864705882,6,116.2
Hunter Henry,2079848,12676,TE,NE,80,7.835294118,14,194
Luke Musgrave,3129283,,TE,GB,76,8.376470588,10,171.8
