player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
BUF,1904,501,DST,BUF,173.7,10.21764706,14,174
HOU,1932,532,DST,HOU,169.2,9.952941176,12,185
CAR,1905,527,DST,CAR,164.2,9.658823529,6,387
CIN,1907,506,DST,CIN,162.2,9.541176471,5,165
PIT,1922,510,DST,PIT,161.7,9.511764706,9,115
LAC,1924,514,DST,LAC,160,9.411764706,6,179
NYG,1918,517,DST,NYG,157.8,9.282352941,6,209
NO,1917,529,DST,NO,157.1,9.241176471,6,137
GB,1911,523,DST,GB,153.8,9.047058824,14,190
JAC,1913,509,DST,JAC,152.7,8.982352941,12,177
SEA,1926,515,DST,SEA,151,8.882352941,11,189
LV,1920,513,DST,LV,149.1,8.770588235,12,194
DET,1910,522,DST,DET,145.2,8.541176471,5,134
CHI,1906,521,DST,CHI,142.6,8.388235294,9,178
ARI,1901,519,DST,ARI,140.3,8.252941176,9,235
TEN,1928,508,DST,TEN,139.3,8.194117647,10,230
LAR,1923,528,DST,LAR,135.9,7.994117647,11,224
WAS,1929,520,DST,WAS,122.2,7.188235294,5,233
DEN,1909,511,DST,DEN,115.2,6.776470588,14,220
